## -- Bunker Barge Statistics -- ##
MMSI	GrossProfit	OperCost	FuelDelivered	DriftTime	DriftCost	Distance	TIdleTime
81287376	0.00	1638.00	0	0	0	0.00	0
81289745	0.00	1638.00	0	0	0	0.00	0
81297090	0.00	1638.00	0	0	0	0.00	0
81298298	0.00	1638.00	0	0	0	0.00	0
81306632	0.00	1638.00	0	0	0	0.00	0
81308415	0.00	1638.00	0	0	0	0.00	0
81314359	0.00	1638.00	0	0	0	0.00	0
81322936	0.00	1638.00	0	0	0	0.00	0
81323607	0.00	1638.00	0	0	0	0.00	0
81327567	0.00	1638.00	0	0	0	0.00	0
81336520	0.00	1638.00	0	0	0	0.00	0
81344194	0.00	1638.00	0	0	0	0.00	0
81347364	0.00	1638.00	0	0	0	0.00	0
81354716	0.00	1638.00	0	0	0	0.00	0
81357025	0.00	1638.00	0	0	0	0.00	0
81362184	0.00	1638.00	0	0	0	0.00	0
81368505	0.00	1638.00	0	0	0	0.00	0
81369174	0.00	1638.00	0	0	0	0.00	0
81375658	0.00	1638.00	0	0	0	0.00	0
81377126	0.00	1638.00	0	0	0	0.00	0
81377761	0.00	1638.00	0	0	0	0.00	0
81386346	0.00	1638.00	0	0	0	0.00	0
81393955	0.00	1638.00	0	0	0	0.00	0
81395145	0.00	1638.00	0	0	0	0.00	0
81399088	0.00	1638.00	0	0	0	0.00	0
81400913	0.00	1638.00	0	0	0	0.00	0
81403938	0.00	1638.00	0	0	0	0.00	0
81411062	0.00	1638.00	0	0	0	0.00	0
81412938	0.00	1638.00	0	0	0	0.00	0
81422633	0.00	1638.00	0	0	0	0.00	0
81429014	0.00	1638.00	0	0	0	0.00	0
81434229	0.00	1638.00	0	0	0	0.00	0
81442836	0.00	1638.00	0	0	0	0.00	0
81446553	0.00	1638.00	0	0	0	0.00	0
81450488	0.00	1638.00	0	0	0	0.00	0
81454337	0.00	1638.00	0	0	0	0.00	0
81460469	0.00	1638.00	0	0	0	0.00	0
81465707	0.00	1638.00	0	0	0	0.00	0
81466919	0.00	1638.00	0	0	0	0.00	0
81476600	0.00	1638.00	0	0	0	0.00	0
81485506	0.00	1638.00	0	0	0	0.00	0
81489568	0.00	1638.00	0	0	0	0.00	0
81495691	0.00	1638.00	0	0	0	0.00	0
81498924	0.00	1638.00	0	0	0	0.00	0
81500068	0.00	4307.72	0	0	1076.99	2.86	53
81500085	0.00	1638.00	0	0	0	0.00	0
81500549	0.00	1638.00	0	0	0	0.00	0
81504162	0.00	1638.00	0	0	0	0.00	0
81506008	0.00	1638.00	0	0	0	0.00	0
81514583	0.00	1638.00	0	0	0	0.00	0
81520298	0.00	1638.00	0	0	0	0.00	0
81521324	0.00	1638.00	0	0	0	0.00	0
81521353	0.00	1638.00	0	0	0	0.00	0
81530769	0.00	1638.00	0	0	0	0.00	0
81532458	0.00	1638.00	0	0	0	0.00	0
81537473	0.00	1638.00	0	0	0	0.00	0
81540674	0.00	1638.00	0	0	0	0.00	0
81543889	0.00	1638.00	0	0	0	0.00	0
81544992	0.00	1638.00	0	0	0	0.00	0
81547016	0.00	1638.00	0	0	0	0.00	0
81556798	0.00	1638.00	0	0	0	0.00	0
81562085	0.00	1638.00	0	0	0	0.00	0
81569600	0.00	1638.00	0	0	0	0.00	0
81571648	0.00	1638.00	0	0	0	0.00	0
81574889	0.00	1638.00	0	0	0	0.00	0
81582775	0.00	3507.28	0	0	0	10.14	0
81585806	0.00	1638.00	0	0	0	0.00	0
81587100	0.00	1638.00	0	0	0	0.00	0
81590450	0.00	1638.00	0	0	0	0.00	0
81595692	0.00	1638.00	0	0	0	0.00	0
81597018	0.00	1638.00	0	0	0	0.00	0
81601453	0.00	1638.00	0	0	0	0.00	0
81607227	0.00	1638.00	0	0	0	0.00	0
81611212	0.00	1638.00	0	0	0	0.00	0
81619651	0.00	1638.00	0	0	0	0.00	0
81620832	0.00	1638.00	0	0	0	0.00	0
81628009	0.00	1638.00	0	0	0	0.00	0
81630373	0.00	1638.00	0	0	0	0.00	0
81638922	0.00	1638.00	0	0	0	0.00	0
81640727	0.00	1638.00	0	0	0	0.00	0
81642632	0.00	1638.00	0	0	0	0.00	0
81644701	0.00	1638.00	0	0	0	0.00	0
81650890	0.00	1638.00	0	0	0	0.00	0
81652500	0.00	1638.00	0	0	0	0.00	0
81653101	0.00	1638.00	0	0	0	0.00	0
81659278	0.00	1638.00	0	0	0	0.00	0
81669277	0.00	1638.00	0	0	0	0.00	0
81673172	0.00	1638.00	0	0	0	0.00	0
81676227	0.00	1638.00	0	0	0	0.00	0
81680771	0.00	1638.00	0	0	0	0.00	0
81685770	0.00	1638.00	0	0	0	0.00	0
81688644	0.00	1638.00	0	0	0	0.00	0
81697643	0.00	1638.00	0	0	0	0.00	0
81700227	0.00	1638.00	0	0	0	0.00	0
81702003	0.00	1638.00	0	0	0	0.00	0
81706657	0.00	1638.00	0	0	0	0.00	0
81710580	3397.86	4385.44	441	0	0	4.97	0
81711305	0.00	1638.00	0	0	0	0.00	0
81716322	0.00	1638.00	0	0	0	0.00	0
81721823	0.00	1638.00	0	0	0	0.00	0


## -- Service Statistics -- ##
MMSI	ServiceID	TimeElapsed	TimeWaited	FuelReceived
